Purpose,GUID
Core GPO Engine,{00000000-0000-0000-0000-000000000000}
Wireless Group Policy,{0ACDD40C-75AC-47AB-BAA0-BF6DE7E7FE63}
Group Policy Environment,{0E28E245-9368-4853-AD84-6DA3BA35BB75}
Computer Policy Setting,{0F3F3735-573D-9804-99E4-AB2A69BA5FD4}
Tool Extension GUID (Computer Policy Settings),{0F6B957D-509E-11D1-A7CC-0000F87571E3}
Tool Extension GUID (User Policy Settings) Restrict Run,{0F6B957E-509E-11D1-A7CC-0000F87571E3}
Data Sources,{1612B55C-243C-48DD-A449-FFC097B19776}
Central Access Policy Configuration,{16BE69FA-4209-4250-88CB-716CF41954E0}
Group Policy Local Users and Groups,{17D89FEC-5C44-4972-B12D-241CAEF74509}
Group Policy Device Settings,{1A6364EB-776B-4120-ADE1-B63A406A76B5}
Devices,{1B767E9A-7BE4-4D35-85C1-2E174A7BA951}
Folder Redirection,{25537BA6-77A8-11D2-9B6C-0000F8080861}
MitigationOptions,{2A8FDC61-2347-4C87-92F6-B05EB91A201A}
Drives,{2EA1A81B-48E5-45E9-8BB7-A6E3AC170006}
Remote Installation Services,{3060E8CE-7020-11D2-842D-00C04FA372D4}
ConfigMgr User State Management Extension,{346193F5-F2FD-4DBD-860C-B88843475FD3}
Environment Variables,{35141B6B-498A-4CC7-AD59-CEF93D89B2CE}
Registry Settings,{35378EAC-683F-11D2-A89A-00C04FBBCFA2}
Microsoft Disk Quota,{3610EDA5-77EF-11D2-8DC5-00C04FA31A66}
Group Policy Network Options,{3A0DBA37-F8B2-4356-83DE-3E90BD5C261F}
Files,{3BAE7E51-E3F4-41D0-853D-9BB9FD47605F}
Folder Options,{3BFAE46A-7F3A-467B-8CEA-6AA34DC71F53}
Folders,{3EC4E9D3-714D-471F-88DC-4DD4471AAB47}
Scripts (Startup/Shutdown),{40B6664F-4972-11D1-A7CA-0000F87571E3}
Scripts (Logon/Logoff) Run Restriction,{40B66650-4972-11D1-A7CA-0000F87571E3}
QoS Packet Scheduler,{426031C0-0B47-4852-B0CA-AC3D37BFCB39}
Scripts,{42B5FAAE-6536-11D2-AE5A-0000F87571E3}
Print Policy in PolicyMaker,{47BA4403-1AA0-47F6-BDC5-298F96D1C2E3}
Remote Desktop USB Redirection,{4BCD6CDE-777B-48B6-9804-43568E23545D}
Internet Explorer Zonemapping,{4CFB60C1-FAA6-47F1-89AA-0B18730C9FD3}
RADCProcessGroupPolicyEx,{4D2F9B6F-1E52-4711-A382-6A8B1A003DE6}
Work Folders,{4D968B55-CAC2-4FF5-983F-0A54603781A3}
Ini Files,{516FC620-5D34-4B08-8165-6A06B623EDEB}
EFS Policy,{53D6AB1B-2488-11D1-A28C-00C04FB94F17}
Certificates Run Restriction,{53D6AB1D-2488-11D1-A28C-00C04FB94F17}
Group Policy Drive Maps,{5794DAFD-BE60-433F-88A2-1A31939AC01F}
Internet Settings,{5C935941-A954-4F7C-B507-885941ECE5C4}
Group Policy Folders,{6232C319-91AC-4931-9385-E70C2B099F0E}
Group Policy Network Shares,{6A4C88C6-C502-4F74-8F60-2CB23EDC24E2}
Group Policy Files,{7150F9BF-48AD-4DA4-A49C-29EF4A8369BA}
Group Policy Data Sources,{728EE579-943C-4519-9EF7-AB56765798ED}
Group Policy Ini Files,{74EE6C03-5363-4554-B161-627540339CAB}
Windows Search Group Policy Extension,{7933F41E-56F8-41D6-A31C-4148A711EE93}
Local users and groups,{79F92669-4224-476C-9C5C-6EFB4D87DF4A}
Internet Explorer User Accelerators,{7B849A69-220F-451E-B3FE-2CB811AF94AE}
Computer Restricted Groups,{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}
Security,{827D319E-6EAC-11D2-A4EA-00C04F79F83A}
Folder Redirection,{88E729D6-BDC1-11D1-BD2A-00C04FB9603F}
Deployed Printer Configuration,{8A28E2C5-8D06-49A4-A08C-632DAA493E17}
Group Policy Services,{91FBB303-0CD5-4055-BF42-E512A681B325}
Software Installation (Computers),{942A8E4F-A261-11D1-A760-00C04FB9603F}
Network Options,{949FB894-E883-42C6-88C1-29169720E8CA}
Power Options,{9AD2BAFE-63B4-4883-A08C-C3C6196BCAFD}
Internet Explorer Branding,{A2E30F80-D7DE-11D2-BBDE-00C04F86AE3B}
Group Policy Folder Options,{A3F3E39B-5D83-4940-B954-28315B82F0A8}
Printers,{A8C42CEA-CDB8-4388-97F4-5831F933DA84}
Group Policy Scheduled Tasks,{AADCED64-746C-4633-A97C-D61349046527}
Windows Firewall,{B05566AC-FE9C-4368-BE01-7A4CBB6CBA11}
Group Policy Registry,{B087BE9D-ED37-454F-AF9C-04291E351182}
EFS Recovery,{B1BE8D72-6EAC-11D2-A4EA-00C04F79F83A}
802.3 Group Policy,{B587E2B1-4D59-4E7E-AED9-22B9DF11D053}
Regional Options,{B9CCA4DE-E2B9-4CBD-BF7D-11B6EBFBDDF7}
Windows To Go Startup Options,{BA649533-0AAC-4E04-B9BC-4DBAE0325B12}
Software Installation (Users) Run Restriction,{BACF5C8A-A3C7-11D1-A760-00C04FB9603F}
Group Policy Printers,{BC75B1ED-5833-4858-9BB8-CBF0B166DF9D}
Registry,{BEE07A6A-EC9F-4659-B8C9-0B1937907C83}
Network Shares,{BFCBBEB0-9DF4-4C0C-A728-434EA66A0373}
Windows To Go Hibernate Options,{C34B2751-1CF4-44F5-9262-C3FC39666591}
Group Policy Shortcuts,{C418DD9D-0D14-4EFB-8FBF-CFE535C8FAC7}
Microsoft Offline Files,{C631DF4C-088F-4156-B058-4375F0853CD8}
Software Installation,{C6DC5466-785A-11D2-84D0-00C04FB169F7}
Scheduled Tasks,{CAB54552-DEEA-4691-817E-ED4A4D1AFC72}
Services,{CC5746A9-9B74-4BE5-AE2E-64379C86E0E4}
TCPIP,{CDEAFC3D-948D-49DD-AB12-E578BA4AF7AA}
Shortcuts,{CEFFA6E2-E3BD-421B-852C-6F6A79A59BC1}
Internet Explorer Machine Accelerators,{CF7639F3-ABA2-41DB-97F2-81E2C5DBFC5D}
Start Menu,{CF848D48-888D-4F45-B530-6A201E62A605}
Tool Extension GUID (Computer Policy Settings),{D02B1F72-3407-48AE-BA88-E8213C6761F1}
Tool Extension GUID (User Policy Settings),{D02B1F73-3407-48AE-BA88-E8213C6761F1}
AdmPwd (LAPS),{D76B9641-3288-4F75-942D-087DE603E3EA}
IP Security,{E437BC1C-AA7D-11D2-A382-00C04F991E27}
Group Policy Internet Settings,{E47248BA-94CC-49C4-BBB5-9EB7F05183D0}
Group Policy Start Menu Settings,{E4F48E54-F38D-4884-BFB9-D4D2E5729C18}
Group Policy Regional Options,{E5094040-C46C-4115-B030-04FB2E545B00}
Group Policy Power Options,{E62688F0-25FD-4C90-BFF5-F508B9D2E31F}
Policy Maker,{F0DB2806-FD46-45B7-81BD-AA3744B32765}
Policy Maker,{F17E8B5B-78F2-49A6-8933-7B767EDA5B41}
Policy Maker,{F27A6DA8-D22B-4179-A042-3D715F9E75B5}
ProcessVirtualizationBasedSecurityGroupPolicy,{F312195E-3D9D-447A-A3F5-08DFFA24735E}
Audit Policy Configuration,{F3CCC681-B74C-4060-9F26-CD84525DCA2A}
Policy Maker,{F581DAE7-8064-444A-AEB3-1875662A61CE}
Policy Maker,{F648C781-42C9-4ED4-BB24-AEB8853701D0}
Policy Maker,{F6E72D5A-6ED3-43D9-9710-4440455F6934}
Group Policy Applications,{F9C77450-3A41-477E-9310-9ACD617BD9E3}
Policy-based QoS,{FB2CA36D-0B40-4307-821B-A13B252DE56C}
Connectivity Platform,{FBF687E6-F063-4D9F-9F4F-FD9A26ACDD5F}
ProcessConfigCIPolicyGroupPolicy,{FC491EF1-C4AA-4CE1-B329-414B101DB823}
Internet Explorer Maintenance Extension protocol,{FC715823-C5FB-11D1-9EEF-00A0C90347FF}
Policy Maker,{FD2D917B-6519-4BF7-8403-456C0C64312F}
Policy Maker,{FFC64763-70D2-45BC-8DEE-7ACAF1BA7F89}
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
